"name","update_time","code","value"
"Kinderzimmer",2026-06-08 09:03:27,"temp_current",241
"Kinderzimmer",2026-06-08 09:03:27,"humidity_value",577
"Kinderzimmer",2026-06-08 09:03:27,"battery_percentage",100
"Grosses-Badezimmer",2026-06-06 22:17:30,"temp_current",239
"Grosses-Badezimmer",2026-06-06 22:17:30,"humidity_value",565
"Grosses-Badezimmer",2026-06-06 22:17:30,"battery_percentage",100
"Schrank",2026-06-06 22:00:22,"temp_current",236
"Schrank",2026-06-06 22:00:22,"humidity_value",611
"Schrank",2026-06-06 22:00:22,"battery_percentage",100
"Spielzimmer",2026-06-06 21:50:41,"temp_current",240
"Spielzimmer",2026-06-06 21:50:41,"humidity_value",563
"Spielzimmer",2026-06-06 21:50:41,"battery_percentage",100
"Fisch-Badezimmer",2026-06-06 21:47:52,"temp_current",240
"Fisch-Badezimmer",2026-06-06 21:47:52,"humidity_value",567
"Fisch-Badezimmer",2026-06-06 21:47:52,"battery_percentage",100
"Stube",2026-06-06 21:44:42,"temp_current",243
"Stube",2026-06-06 21:44:42,"humidity_value",563
"Stube",2026-06-06 21:44:42,"battery_percentage",100
"Eltern-Schlafzimmer",2026-06-06 21:38:59,"temp_current",236
"Eltern-Schlafzimmer",2026-06-06 21:38:59,"humidity_value",591
"Eltern-Schlafzimmer",2026-06-06 21:38:59,"battery_percentage",100
"Kinderzimmer",2026-06-08 09:03:27,"temp_current",240
"Kinderzimmer",2026-06-08 09:03:27,"humidity_value",584
"Kinderzimmer",2026-06-08 09:03:27,"battery_percentage",100
"Grosses-Badezimmer",2026-06-06 22:17:30,"temp_current",239
"Grosses-Badezimmer",2026-06-06 22:17:30,"humidity_value",586
"Grosses-Badezimmer",2026-06-06 22:17:30,"battery_percentage",100
"Schrank",2026-06-06 22:00:22,"temp_current",236
"Schrank",2026-06-06 22:00:22,"humidity_value",612
"Schrank",2026-06-06 22:00:22,"battery_percentage",100
"Spielzimmer",2026-06-06 21:50:41,"temp_current",241
"Spielzimmer",2026-06-06 21:50:41,"humidity_value",582
"Spielzimmer",2026-06-06 21:50:41,"battery_percentage",100
"Fisch-Badezimmer",2026-06-06 21:47:52,"temp_current",244
"Fisch-Badezimmer",2026-06-06 21:47:52,"humidity_value",564
"Fisch-Badezimmer",2026-06-06 21:47:52,"battery_percentage",100
"Stube",2026-06-06 21:44:42,"temp_current",243
"Stube",2026-06-06 21:44:42,"humidity_value",563
"Stube",2026-06-06 21:44:42,"battery_percentage",100
"Eltern-Schlafzimmer",2026-06-06 21:38:59,"temp_current",238
"Eltern-Schlafzimmer",2026-06-06 21:38:59,"humidity_value",595
"Eltern-Schlafzimmer",2026-06-06 21:38:59,"battery_percentage",100
